shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
atlantico_angeles,9.9348741,-84.0689369,0
atlantico_angeles,9.9347849,-84.0687269,1
atlantico_angeles,9.9347298,-84.068614,2
atlantico_angeles,9.9347342,-84.0686116,3
atlantico_angeles,9.9343972,-84.067946,4
atlantico_angeles,9.9343165,-84.0677596,5
atlantico_angeles,9.9341662,-84.0674254,6
atlantico_angeles,9.9340801,-84.0672424,7
atlantico_angeles,9.9340078,-84.0670711,8
atlantico_angeles,9.9337832,-84.0666193,9
atlantico_angeles,9.9336536,-84.0662543,10
atlantico_angeles,9.9336442,-84.066215,11
atlantico_angeles,9.9336275,-84.0661287,12
atlantico_angeles,9.9335718,-84.0656888,13
atlantico_angeles,9.9335423,-84.0653349,14
atlantico_angeles,9.9335552,-84.0650526,15
atlantico_angeles,9.9335683,-84.0649459,16
atlantico_angeles,9.9335883,-84.0648111,17
atlantico_angeles,9.9336919,-84.0643327,18
atlantico_angeles,9.93386,-84.0637196,19
atlantico_angeles,9.9339051,-84.0635476,20
atlantico_angeles,9.9343135,-84.0621665,21
atlantico_angeles,9.9345539,-84.0613648,22
atlantico_angeles,9.9346013,-84.0612067,23
atlantico_angeles,9.9347494,-84.0607128,24
atlantico_angeles,9.934974,-84.0599349,25
atlantico_angeles,9.9353703,-84.0585294,26
atlantico_angeles,9.935424,-84.0582103,27
atlantico_angeles,9.9354493,-84.0578951,28
atlantico_angeles,9.935449,-84.0578346,29
atlantico_angeles,9.9354472,-84.0577088,30
atlantico_angeles,9.9354447,-84.0576149,31
atlantico_angeles,9.9354263,-84.0573417,32
atlantico_angeles,9.9353809,-84.0570515,33
atlantico_angeles,9.9352778,-84.0566251,34
atlantico_angeles,9.9351827,-84.056271,35
atlantico_angeles,9.935085,-84.0559143,36
atlantico_angeles,9.9349716,-84.0555179,37
atlantico_angeles,9.9349514,-84.0554471,38
atlantico_angeles,9.9349123,-84.0553234,39
atlantico_angeles,9.9344573,-84.0537972,40
atlantico_angeles,9.9344104,-84.0536339,41
atlantico_angeles,9.9341796,-84.0528887,42
atlantico_angeles,9.9340346,-84.05241899,43
atlantico_angeles,9.9340324,-84.0523175,44
atlantico_angeles,9.9339859,-84.0521666,45
atlantico_angeles,9.9336837,-84.051054,46
atlantico_angeles,9.9334745,-84.0503073,47
atlantico_angeles,9.9332674,-84.0495966,48
atlantico_angeles,9.9332136,-84.0493276,49
atlantico_angeles,9.9329369,-84.0481679,50
atlantico_angeles,9.9328589,-84.0477108,51
atlantico_angeles,9.9327561,-84.0469136,52
atlantico_angeles,9.9327383,-84.0467622,53
atlantico_angeles,9.9326892,-84.045777,54
atlantico_angeles,9.9326469,-84.0450655,55
atlantico_angeles,9.9326429,-84.0448899,56
atlantico_angeles,9.932641,-84.0448184,57
atlantico_angeles,9.9326307,-84.0444387,58
atlantico_angeles,9.9326027,-84.0439976,59
atlantico_angeles,9.9325526,-84.0438187,60
atlantico_angeles,9.9324705,-84.0435545,61
atlantico_angeles,9.9323369,-84.043285,62
atlantico_angeles,9.9321414,-84.0429751,63
atlantico_angeles,9.9319024,-84.0426701,64
atlantico_angeles,9.93169,-84.0424946,65
atlantico_angeles,9.9312972,-84.0421986,66
atlantico_angeles,9.9309168,-84.0419831,67
atlantico_angeles,9.9304082,-84.0418368,68
atlantico_angeles,9.9300262,-84.0417014,69
atlantico_angeles,9.9276345,-84.0394379,70
atlantico_angeles,9.9273253,-84.0391439,71
atlantico_angeles,9.9252818,-84.0371297,72
atlantico_angeles,9.9234597,-84.0353344,73
atlantico_angeles,9.9231428,-84.0350499,74
atlantico_angeles,9.9229399,-84.034867,75
