shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
atlantico_oreamuno,9.934874,-84.0689,0
atlantico_oreamuno,9.934785,-84.0687,1
atlantico_oreamuno,9.93473,-84.0686,2
atlantico_oreamuno,9.934734,-84.0686,3
atlantico_oreamuno,9.934397,-84.0679,4
atlantico_oreamuno,9.934317,-84.0678,5
atlantico_oreamuno,9.934166,-84.0674,6
atlantico_oreamuno,9.93408,-84.0672,7
atlantico_oreamuno,9.934008,-84.0671,8
atlantico_oreamuno,9.933783,-84.0666,9
atlantico_oreamuno,9.933654,-84.0663,10
atlantico_oreamuno,9.933644,-84.0662,11
atlantico_oreamuno,9.933628,-84.0661,12
atlantico_oreamuno,9.933572,-84.0657,13
atlantico_oreamuno,9.933542,-84.0653,14
atlantico_oreamuno,9.933555,-84.0651,15
atlantico_oreamuno,9.933568,-84.0649,16
atlantico_oreamuno,9.933588,-84.0648,17
atlantico_oreamuno,9.933692,-84.0643,18
atlantico_oreamuno,9.93386,-84.0637,19
atlantico_oreamuno,9.933905,-84.0635,20
atlantico_oreamuno,9.934314,-84.0622,21
atlantico_oreamuno,9.934554,-84.0614,22
atlantico_oreamuno,9.934601,-84.0612,23
atlantico_oreamuno,9.934749,-84.0607,24
atlantico_oreamuno,9.934974,-84.0599,25
atlantico_oreamuno,9.93537,-84.0585,26
atlantico_oreamuno,9.935424,-84.0582,27
atlantico_oreamuno,9.935449,-84.0579,28
atlantico_oreamuno,9.935449,-84.0578,29
atlantico_oreamuno,9.935447,-84.0577,30
atlantico_oreamuno,9.935445,-84.0576,31
atlantico_oreamuno,9.935426,-84.0573,32
atlantico_oreamuno,9.935381,-84.0571,33
atlantico_oreamuno,9.935278,-84.0566,34
atlantico_oreamuno,9.935183,-84.0563,35
atlantico_oreamuno,9.935085,-84.0559,36
atlantico_oreamuno,9.934972,-84.0555,37
atlantico_oreamuno,9.934951,-84.0554,38
atlantico_oreamuno,9.934912,-84.0553,39
atlantico_oreamuno,9.934457,-84.0538,40
atlantico_oreamuno,9.93441,-84.0536,41
atlantico_oreamuno,9.93418,-84.0529,42
atlantico_oreamuno,9.934035,-84.0524,43
atlantico_oreamuno,9.934032,-84.0523,44
atlantico_oreamuno,9.933986,-84.0522,45
atlantico_oreamuno,9.933684,-84.0511,46
atlantico_oreamuno,9.933475,-84.0503,47
atlantico_oreamuno,9.933267,-84.0496,48
atlantico_oreamuno,9.933214,-84.0493,49
atlantico_oreamuno,9.932937,-84.0482,50
atlantico_oreamuno,9.932859,-84.0477,51
atlantico_oreamuno,9.932756,-84.0469,52
atlantico_oreamuno,9.932738,-84.0468,53
atlantico_oreamuno,9.932689,-84.0458,54
atlantico_oreamuno,9.932647,-84.0451,55
atlantico_oreamuno,9.932643,-84.0449,56
atlantico_oreamuno,9.932641,-84.0448,57
atlantico_oreamuno,9.932631,-84.0444,58
atlantico_oreamuno,9.932603,-84.044,59
atlantico_oreamuno,9.932553,-84.0438,60
atlantico_oreamuno,9.932471,-84.0436,61
atlantico_oreamuno,9.932337,-84.0433,62
atlantico_oreamuno,9.932141,-84.043,63
atlantico_oreamuno,9.931902,-84.0427,64
atlantico_oreamuno,9.93169,-84.0425,65
atlantico_oreamuno,9.931297,-84.0422,66
atlantico_oreamuno,9.930917,-84.042,67
atlantico_oreamuno,9.930408,-84.0418,68
atlantico_oreamuno,9.930026,-84.0417,69
atlantico_oreamuno,9.927635,-84.0394,70
atlantico_oreamuno,9.927325,-84.0391,71
atlantico_oreamuno,9.925282,-84.0371,72
atlantico_oreamuno,9.92346,-84.0353,73
atlantico_oreamuno,9.923143,-84.035,74
atlantico_oreamuno,9.92294,-84.0349,75
atlantico_oreamuno,9.922879,-84.0348,76
atlantico_oreamuno,9.92212,-84.034,77
atlantico_oreamuno,9.921769,-84.0336,78
atlantico_oreamuno,9.921525,-84.0332,79
atlantico_oreamuno,9.921466,-84.0328,80
atlantico_oreamuno,9.921456,-84.0323,81
atlantico_oreamuno,9.921457,-84.0317,82
atlantico_oreamuno,9.921438,-84.0314,83
atlantico_oreamuno,9.921389,-84.0312,84
atlantico_oreamuno,9.921209,-84.0307,85
