shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
belen_pacifico,9.9784607,-84.1849399,0
belen_pacifico,9.9784986,-84.1848199,1
belen_pacifico,9.9785043,-84.1847012,2
belen_pacifico,9.9788586,-84.1833087,3
belen_pacifico,9.9790408,-84.1827172,4
belen_pacifico,9.9790928,-84.1824753,5
belen_pacifico,9.9790989,-84.1823513,6
belen_pacifico,9.9790969,-84.1822009,7
belen_pacifico,9.9790888,-84.1819793,8
belen_pacifico,9.9790388,-84.1816825,9
belen_pacifico,9.9789867,-84.1815179,10
belen_pacifico,9.9788886,-84.1813492,11
belen_pacifico,9.9787445,-84.1811784,12
belen_pacifico,9.9786304,-84.1810788,13
belen_pacifico,9.9784983,-84.1810097,14
belen_pacifico,9.9781399,-84.1809304,15
belen_pacifico,9.9778276,-84.1808959,16
belen_pacifico,9.9775433,-84.1808634,17
belen_pacifico,9.9770529,-84.1808184,18
belen_pacifico,9.9767571,-84.1806896,19
belen_pacifico,9.9763851,-84.1804407,20
belen_pacifico,9.9758695,-84.1799429,21
belen_pacifico,9.9757417,-84.1798155,22
belen_pacifico,9.975413,-84.179488,23
belen_pacifico,9.9750918,-84.1792219,24
belen_pacifico,9.974779,-84.1788529,25
belen_pacifico,9.9744622,-84.1783816,26
belen_pacifico,9.9744155,-84.1783121,27
belen_pacifico,9.974361,-84.1781875,28
belen_pacifico,9.9741112,-84.1776169,29
belen_pacifico,9.9739252,-84.1766642,30
belen_pacifico,9.9737731,-84.1753681,31
belen_pacifico,9.9737562,-84.1738318,32
belen_pacifico,9.9737139,-84.1731795,33
belen_pacifico,9.973604,-84.172716,34
belen_pacifico,9.9734011,-84.1722439,35
belen_pacifico,9.9731306,-84.1717632,36
belen_pacifico,9.972784,-84.1713255,37
belen_pacifico,9.972243,-84.1709307,38
belen_pacifico,9.9717358,-84.1706904,39
belen_pacifico,9.9704931,-84.1703642,40
belen_pacifico,9.9685488,-84.1694887,41
belen_pacifico,9.9681769,-84.16936,42
belen_pacifico,9.9678895,-84.1690682,43
belen_pacifico,9.9668652,-84.1676427,44
belen_pacifico,9.9664186,-84.1672538,45
belen_pacifico,9.9661819,-84.1669825,46
belen_pacifico,9.9660804,-84.1665791,47
belen_pacifico,9.9661565,-84.1660298,48
belen_pacifico,9.9661227,-84.165695,49
belen_pacifico,9.965793,-84.164605,50
belen_pacifico,9.965514,-84.1642531,51
belen_pacifico,9.9653196,-84.1639956,52
belen_pacifico,9.9650848,-84.1633237,53
belen_pacifico,9.9649645,-84.1629656,54
belen_pacifico,9.9646264,-84.1621588,55
belen_pacifico,9.9644151,-84.1617811,56
belen_pacifico,9.9641615,-84.1615065,57
belen_pacifico,9.9632479,-84.161048,58
belen_pacifico,9.9623777,-84.1598843,59
belen_pacifico,9.9622124,-84.1596532,60
belen_pacifico,9.962048,-84.1592577,61
belen_pacifico,9.9619551,-84.1586569,62
belen_pacifico,9.9619297,-84.1580303,63
belen_pacifico,9.9618536,-84.1577814,64
belen_pacifico,9.9616592,-84.1574295,65
belen_pacifico,9.9597493,-84.1544204,66
belen_pacifico,9.9588981,-84.1530463,67
belen_pacifico,9.9578623,-84.15138,68
belen_pacifico,9.9576935,-84.1511888,69
belen_pacifico,9.9575594,-84.151059,70
belen_pacifico,9.9573359,-84.1509105,71
belen_pacifico,9.9572144,-84.1508221,72
belen_pacifico,9.957101,-84.1507712,73
belen_pacifico,9.9569459,-84.1506836,74
belen_pacifico,9.9564417,-84.1504816,75
belen_pacifico,9.9562952,-84.150403,76
belen_pacifico,9.956142,-84.1502948,77
belen_pacifico,9.9559195,-84.1500782,78
belen_pacifico,9.955766,-84.1498934,79
belen_pacifico,9.9556673,-84.1497053,80
belen_pacifico,9.955132,-84.1485207,81
belen_pacifico,9.9543582,-84.1468083,82
belen_pacifico,9.9541803,-84.1465164,83
belen_pacifico,9.9539983,-84.1462897,84
belen_pacifico,9.9537889,-84.1461154,85
belen_pacifico,9.9535703,-84.1460022,86
belen_pacifico,9.9512865,-84.1448767,87
belen_pacifico,9.9498709,-84.1440943,88
belen_pacifico,9.9498597,-84.1440878,89
belen_pacifico,9.9493497,-84.1437941,90
belen_pacifico,9.9484209,-84.1433056,91
belen_pacifico,9.9481148,-84.1430724,92
belen_pacifico,9.9478248,-84.1427591,93
belen_pacifico,9.9476398,-84.1424505,94
belen_pacifico,9.947496,-84.1421,95
belen_pacifico,9.9469399,-84.1400628,96
belen_pacifico,9.9463192,-84.1380366,97
belen_pacifico,9.9461457,-84.1374652,98
belen_pacifico,9.9457991,-84.136453,99
belen_pacifico,9.9456094,-84.1362038,100
belen_pacifico,9.945368,-84.1359982,101
belen_pacifico,9.9451345,-84.1358763,102
belen_pacifico,9.9448979,-84.1358105,103
belen_pacifico,9.9444947,-84.1358265,104
belen_pacifico,9.9441934,-84.1358491,105
belen_pacifico,9.9439874,-84.1358682,106
belen_pacifico,9.9434921,-84.1359248,107
belen_pacifico,9.9426069,-84.1360214,108
belen_pacifico,9.9417103,-84.1361333,109
belen_pacifico,9.941222,-84.1361764,110
belen_pacifico,9.9410177,-84.1361691,111
belen_pacifico,9.940893,-84.1361434,112
belen_pacifico,9.9408153,-84.1361264,113
belen_pacifico,9.9407782,-84.1361102,114
belen_pacifico,9.9407277,-84.1360783,115
belen_pacifico,9.9404913,-84.1359072,116
belen_pacifico,9.9403245,-84.1357196,117
belen_pacifico,9.9402052,-84.13544,118
belen_pacifico,9.9401443,-84.1352011,119
belen_pacifico,9.9401334,-84.1351584,120
belen_pacifico,9.940129,-84.1351172,121
belen_pacifico,9.9400741,-84.1346063,122
