shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
cfia_metropoli,9.9252818,-84.0371297,0
cfia_metropoli,9.9273253,-84.0391439,1
cfia_metropoli,9.9276345,-84.0394379,2
cfia_metropoli,9.9300262,-84.0417014,3
cfia_metropoli,9.9304082,-84.0418368,4
cfia_metropoli,9.9309168,-84.0419831,5
cfia_metropoli,9.9312972,-84.0421986,6
cfia_metropoli,9.93169,-84.0424946,7
cfia_metropoli,9.9319024,-84.0426701,8
cfia_metropoli,9.9321414,-84.0429751,9
cfia_metropoli,9.9323369,-84.043285,10
cfia_metropoli,9.9324705,-84.0435545,11
cfia_metropoli,9.9325526,-84.0438187,12
cfia_metropoli,9.9326027,-84.0439976,13
cfia_metropoli,9.9326307,-84.0444387,14
cfia_metropoli,9.932641,-84.0448184,15
cfia_metropoli,9.9326429,-84.0448899,16
cfia_metropoli,9.9326469,-84.0450655,17
cfia_metropoli,9.9326892,-84.045777,18
cfia_metropoli,9.9327383,-84.0467622,19
cfia_metropoli,9.9327561,-84.0469136,20
cfia_metropoli,9.9328589,-84.0477108,21
cfia_metropoli,9.9329369,-84.0481679,22
cfia_metropoli,9.9332136,-84.0493276,23
cfia_metropoli,9.9332674,-84.0495966,24
cfia_metropoli,9.9334745,-84.0503073,25
cfia_metropoli,9.9336837,-84.051054,26
cfia_metropoli,9.9339859,-84.0521666,27
cfia_metropoli,9.9340324,-84.0523175,28
cfia_metropoli,9.9340346,-84.05241899,29
cfia_metropoli,9.9341796,-84.0528887,30
cfia_metropoli,9.9344104,-84.0536339,31
cfia_metropoli,9.9344573,-84.0537972,32
cfia_metropoli,9.9349123,-84.0553234,33
cfia_metropoli,9.9349514,-84.0554471,34
cfia_metropoli,9.9349716,-84.0555179,35
cfia_metropoli,9.935085,-84.0559143,36
cfia_metropoli,9.9351827,-84.056271,37
cfia_metropoli,9.9352778,-84.0566251,38
cfia_metropoli,9.9353809,-84.0570515,39
cfia_metropoli,9.9354263,-84.0573417,40
cfia_metropoli,9.9354447,-84.0576149,41
cfia_metropoli,9.9354472,-84.0577088,42
cfia_metropoli,9.935449,-84.0578346,43
cfia_metropoli,9.9354493,-84.0578951,44
cfia_metropoli,9.935424,-84.0582103,45
cfia_metropoli,9.9353703,-84.0585294,46
cfia_metropoli,9.934974,-84.0599349,47
cfia_metropoli,9.9347494,-84.0607128,48
cfia_metropoli,9.9346013,-84.0612067,49
cfia_metropoli,9.9345539,-84.0613648,50
cfia_metropoli,9.9343135,-84.0621665,51
cfia_metropoli,9.9339051,-84.0635476,52
cfia_metropoli,9.93386,-84.0637196,53
cfia_metropoli,9.9336919,-84.0643327,54
cfia_metropoli,9.9335883,-84.0648111,55
cfia_metropoli,9.9335683,-84.0649459,56
cfia_metropoli,9.9335552,-84.0650526,57
cfia_metropoli,9.9335423,-84.0653349,58
cfia_metropoli,9.9335718,-84.0656888,59
cfia_metropoli,9.9336275,-84.0661287,60
cfia_metropoli,9.9336442,-84.066215,61
cfia_metropoli,9.9336536,-84.0662543,62
cfia_metropoli,9.9337832,-84.0666193,63
cfia_metropoli,9.9340078,-84.0670711,64
cfia_metropoli,9.9340801,-84.0672424,65
cfia_metropoli,9.9341662,-84.0674254,66
cfia_metropoli,9.9343165,-84.0677596,67
cfia_metropoli,9.9343972,-84.067946,68
cfia_metropoli,9.9347342,-84.0686116,69
cfia_metropoli,9.9347298,-84.068614,70
cfia_metropoli,9.9347849,-84.0687269,71
cfia_metropoli,9.9348741,-84.0689369,72
cfia_metropoli,9.9347849,-84.0687269,73
cfia_metropoli,9.9347342,-84.0686116,74
cfia_metropoli,9.9343972,-84.067946,75
cfia_metropoli,9.9343165,-84.0677596,76
cfia_metropoli,9.9341662,-84.0674254,77
cfia_metropoli,9.9340801,-84.0672424,78
cfia_metropoli,9.9340078,-84.0670711,79
cfia_metropoli,9.9337832,-84.0666193,80
cfia_metropoli,9.9336536,-84.0662543,81
cfia_metropoli,9.9336442,-84.066215,82
cfia_metropoli,9.9336275,-84.0661287,83
cfia_metropoli,9.9335718,-84.0656888,84
cfia_metropoli,9.9335423,-84.0653349,85
cfia_metropoli,9.9335552,-84.0650526,86
cfia_metropoli,9.9335683,-84.0649459,87
cfia_metropoli,9.9335883,-84.0648111,88
cfia_metropoli,9.9336919,-84.0643327,89
cfia_metropoli,9.93386,-84.0637196,90
cfia_metropoli,9.9339051,-84.0635476,91
cfia_metropoli,9.9338934,-84.0632555,92
cfia_metropoli,9.9338538,-84.0630543,93
cfia_metropoli,9.9337772,-84.0628666,94
cfia_metropoli,9.9336266,-84.0626734,95
cfia_metropoli,9.933513,-84.0625742,96
cfia_metropoli,9.9333914,-84.0624991,97
cfia_metropoli,9.9331517,-84.0624012,98
cfia_metropoli,9.9328815,-84.0623865,99
cfia_metropoli,9.9326226,-84.0624294,100
cfia_metropoli,9.9324482,-84.0625098,101
cfia_metropoli,9.9322025,-84.0626895,102
cfia_metropoli,9.9319727,-84.062939,103
cfia_metropoli,9.9318829,-84.0630999,104
cfia_metropoli,9.9317909,-84.0632935,105
cfia_metropoli,9.9317982,-84.0638305,106
cfia_metropoli,9.9318601,-84.0643195,107
cfia_metropoli,9.9319546,-84.0646937,108
cfia_metropoli,9.9320424,-84.0650798,109
cfia_metropoli,9.9320656,-84.0652956,110
cfia_metropoli,9.932069,-84.0653951,111
cfia_metropoli,9.9320708,-84.0654868,112
cfia_metropoli,9.932034,-84.0656278,113
cfia_metropoli,9.9320171,-84.065646,114
cfia_metropoli,9.9319766,-84.0657133,115
cfia_metropoli,9.9318825,-84.0658726,116
cfia_metropoli,9.9315591,-84.0663747,117
cfia_metropoli,9.9314579,-84.0665335,118
cfia_metropoli,9.9313728,-84.0667109,119
cfia_metropoli,9.9313013,-84.0669606,120
cfia_metropoli,9.9312486,-84.0672643,121
cfia_metropoli,9.9312532,-84.0675936,122
cfia_metropoli,9.9313153,-84.0678878,123
cfia_metropoli,9.9314307,-84.0681863,124
cfia_metropoli,9.9319769,-84.0692549,125
cfia_metropoli,9.932044,-84.0693697,126
cfia_metropoli,9.9321114,-84.0695759,127
cfia_metropoli,9.932163,-84.0700585,128
cfia_metropoli,9.9321644,-84.0701113,129
cfia_metropoli,9.9321482,-84.0705146,130
cfia_metropoli,9.9321183,-84.0707967,131
cfia_metropoli,9.932063,-84.071038,132
cfia_metropoli,9.9320045,-84.0712178,133
cfia_metropoli,9.9318228,-84.0715658,134
cfia_metropoli,9.931663,-84.0718639,135
cfia_metropoli,9.9312756,-84.0725767,136
cfia_metropoli,9.9312068,-84.0727059,137
cfia_metropoli,9.9311851,-84.0727575,138
cfia_metropoli,9.9311337,-84.0728796,139
cfia_metropoli,9.9309536,-84.0729907,140
cfia_metropoli,9.9308689,-84.0730492,141
cfia_metropoli,9.9307374,-84.0731224,142
cfia_metropoli,9.9306293,-84.0731681,143
cfia_metropoli,9.9301951,-84.0731828,144
cfia_metropoli,9.9294115,-84.0732285,145
cfia_metropoli,9.928865,-84.0732596,146
cfia_metropoli,9.9283552,-84.0732729,147
cfia_metropoli,9.9278973,-84.073298,148
cfia_metropoli,9.9273891,-84.0733182,149
cfia_metropoli,9.9268467,-84.073331,150
cfia_metropoli,9.9261057,-84.0733682,151
cfia_metropoli,9.9259232,-84.073426,152
cfia_metropoli,9.9257754,-84.0734821,153
cfia_metropoli,9.9257026,-84.0735136,154
cfia_metropoli,9.9256595,-84.0735292,155
cfia_metropoli,9.9254993,-84.0736507,156
cfia_metropoli,9.9253187,-84.0738048,157
cfia_metropoli,9.9252034,-84.073948,158
cfia_metropoli,9.925085,-84.0741406,159
cfia_metropoli,9.9250258,-84.0743336,160
cfia_metropoli,9.9249434,-84.0746097,161
cfia_metropoli,9.9249291,-84.0747599,162
cfia_metropoli,9.9249314,-84.0748187,163
cfia_metropoli,9.9250057,-84.0756998,164
cfia_metropoli,9.9250817,-84.076611,165
cfia_metropoli,9.9251296,-84.0771475,166
cfia_metropoli,9.9251862,-84.0777445,167
cfia_metropoli,9.9253116,-84.0791117,168
cfia_metropoli,9.9253156,-84.0791463,169
cfia_metropoli,9.9253651,-84.0797588,170
cfia_metropoli,9.9253866,-84.0799658,171
cfia_metropoli,9.92540567,-84.0802126,172
cfia_metropoli,9.925431,-84.0803734,173
cfia_metropoli,9.92541693,-84.0803725,174
cfia_metropoli,9.9253576,-84.0803989,175
cfia_metropoli,9.9253523,-84.0806108,176
cfia_metropoli,9.92537369,-84.0808722,177
cfia_metropoli,9.9253945,-84.0811014,178
cfia_metropoli,9.9257294,-84.0836314,179
cfia_metropoli,9.9258004,-84.0844052,180
cfia_metropoli,9.9258029,-84.084703,181
cfia_metropoli,9.9257564,-84.0850864,182
cfia_metropoli,9.9256818,-84.0853768,183
cfia_metropoli,9.9255773,-84.0856152,184
cfia_metropoli,9.9253837,-84.0861128,185
cfia_metropoli,9.9252137,-84.0864369,186
cfia_metropoli,9.9250369,-84.0868748,187
cfia_metropoli,9.9249764,-84.0870523,188
cfia_metropoli,9.924989,-84.0874217,189
cfia_metropoli,9.9252757,-84.0892389,190
cfia_metropoli,9.9253976,-84.0898437,191
cfia_metropoli,9.9255076,-84.0904344,192
cfia_metropoli,9.9255816,-84.0906049,193
cfia_metropoli,9.9256598,-84.0907566,194
cfia_metropoli,9.9258116,-84.0909738,195
cfia_metropoli,9.9259238,-84.0910545,196
cfia_metropoli,9.9259689,-84.0910992,197
cfia_metropoli,9.9260257,-84.09114,198
cfia_metropoli,9.9261842,-84.091254,199
cfia_metropoli,9.9264878,-84.0914501,200
cfia_metropoli,9.9269607,-84.0917519,201
cfia_metropoli,9.9271319,-84.0918611,202
cfia_metropoli,9.9273064,-84.0919248,203
cfia_metropoli,9.92750186,-84.09210541,204
cfia_metropoli,9.9282132,-84.0925688,205
cfia_metropoli,9.928478,-84.0927599,206
cfia_metropoli,9.9289052,-84.0930263,207
cfia_metropoli,9.9299259,-84.0937125,208
cfia_metropoli,9.9302116,-84.0939136,209
cfia_metropoli,9.9303611,-84.0940513,210
cfia_metropoli,9.9305382,-84.0942428,211
cfia_metropoli,9.9306868,-84.0944314,212
cfia_metropoli,9.9308313,-84.0946484,213
cfia_metropoli,9.9308862,-84.0947073,214
cfia_metropoli,9.9316947,-84.0962424,215
cfia_metropoli,9.9320095,-84.096875,216
cfia_metropoli,9.9321681,-84.0972603,217
cfia_metropoli,9.9322482,-84.097488,218
cfia_metropoli,9.9323003,-84.0977075,219
cfia_metropoli,9.9323561,-84.0982177,220
cfia_metropoli,9.9323627,-84.0982979,221
cfia_metropoli,9.9323793,-84.0984424,222
cfia_metropoli,9.9324057,-84.0987077,223
cfia_metropoli,9.9326467,-84.1014158,224
cfia_metropoli,9.9326563,-84.1014151,225
cfia_metropoli,9.9334995,-84.1099142,226
cfia_metropoli,9.9335372,-84.1103089,227
cfia_metropoli,9.9336421,-84.1114284,228
cfia_metropoli,9.9338354,-84.1119459,229
cfia_metropoli,9.9341474,-84.1123171,230
cfia_metropoli,9.9344853,-84.1125672,231
cfia_metropoli,9.9347997,-84.1126877,232
cfia_metropoli,9.9354121,-84.1126823,233
cfia_metropoli,9.935707,-84.1126616,234
cfia_metropoli,9.9358435,-84.1126773,235
cfia_metropoli,9.9359513,-84.1127081,236
cfia_metropoli,9.9360803,-84.1127559,237
cfia_metropoli,9.9361774,-84.1128082,238
cfia_metropoli,9.9363284,-84.1129085,239
cfia_metropoli,9.9364527,-84.1130095,240
cfia_metropoli,9.9365531,-84.1131141,241
cfia_metropoli,9.9366324,-84.1132214,242
cfia_metropoli,9.9366958,-84.1133448,243
cfia_metropoli,9.9367592,-84.1135567,244
cfia_metropoli,9.936775,-84.1138061,245
cfia_metropoli,9.9367909,-84.1144471,246
cfia_metropoli,9.936775,-84.1150989,247
cfia_metropoli,9.9367621,-84.1154394,248
cfia_metropoli,9.9367783,-84.1156674,249
cfia_metropoli,9.9367966,-84.1157881,250
cfia_metropoli,9.9368955,-84.1163195,251
cfia_metropoli,9.9369684,-84.1167884,252
cfia_metropoli,9.9370198,-84.1171187,253
cfia_metropoli,9.9371184,-84.1174587,254
cfia_metropoli,9.9378877,-84.1193668,255
cfia_metropoli,9.9379988,-84.1196425,256
cfia_metropoli,9.9382944,-84.1202932,257
cfia_metropoli,9.9384759,-84.1205828,258
cfia_metropoli,9.9386357,-84.1207226,259
cfia_metropoli,9.9393833,-84.1213764,260
cfia_metropoli,9.9398456,-84.1220143,261
cfia_metropoli,9.9401587,-84.1227607,262
cfia_metropoli,9.9402396,-84.1235259,263
cfia_metropoli,9.9402355,-84.1237152,264
cfia_metropoli,9.9403739,-84.1237316,265
cfia_metropoli,9.9401569,-84.1273819,266
cfia_metropoli,9.9400121,-84.130606,267
cfia_metropoli,9.9399871,-84.1315596,268
cfia_metropoli,9.9399541,-84.1324677,269
cfia_metropoli,9.93996,-84.1333511,270
cfia_metropoli,9.9399761,-84.1335334,271
