shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
metropoli_cfia,9.955766,-84.1498934,0
metropoli_cfia,9.9556673,-84.1497053,1
metropoli_cfia,9.955132,-84.1485207,2
metropoli_cfia,9.9543582,-84.1468083,3
metropoli_cfia,9.9541803,-84.1465164,4
metropoli_cfia,9.9539983,-84.1462897,5
metropoli_cfia,9.9537889,-84.1461154,6
metropoli_cfia,9.9535703,-84.1460022,7
metropoli_cfia,9.9512865,-84.1448767,8
metropoli_cfia,9.9498709,-84.1440943,9
metropoli_cfia,9.9498597,-84.1440878,10
metropoli_cfia,9.9493497,-84.1437941,11
metropoli_cfia,9.9484209,-84.1433056,12
metropoli_cfia,9.9481148,-84.1430724,13
metropoli_cfia,9.9478248,-84.1427591,14
metropoli_cfia,9.9476398,-84.1424505,15
metropoli_cfia,9.947496,-84.1421,16
metropoli_cfia,9.9469399,-84.1400628,17
metropoli_cfia,9.9463192,-84.1380366,18
metropoli_cfia,9.9461457,-84.1374652,19
metropoli_cfia,9.9457991,-84.136453,20
metropoli_cfia,9.9456094,-84.1362038,21
metropoli_cfia,9.945368,-84.1359982,22
metropoli_cfia,9.9451345,-84.1358763,23
metropoli_cfia,9.9448979,-84.1358105,24
metropoli_cfia,9.9444947,-84.1358265,25
metropoli_cfia,9.9441934,-84.1358491,26
metropoli_cfia,9.9439874,-84.1358682,27
metropoli_cfia,9.9434921,-84.1359248,28
metropoli_cfia,9.9426069,-84.1360214,29
metropoli_cfia,9.9417103,-84.1361333,30
metropoli_cfia,9.941222,-84.1361764,31
metropoli_cfia,9.9410177,-84.1361691,32
metropoli_cfia,9.940893,-84.1361434,33
metropoli_cfia,9.9408153,-84.1361264,34
metropoli_cfia,9.9407782,-84.1361102,35
metropoli_cfia,9.9407277,-84.1360783,36
metropoli_cfia,9.9404913,-84.1359072,37
metropoli_cfia,9.9403245,-84.1357196,38
metropoli_cfia,9.9402052,-84.13544,39
metropoli_cfia,9.9401443,-84.1352011,40
metropoli_cfia,9.9401334,-84.1351584,41
metropoli_cfia,9.940129,-84.1351172,42
metropoli_cfia,9.9400741,-84.1346063,43
metropoli_cfia,9.9400393,-84.1342488,44
metropoli_cfia,9.9399761,-84.1335334,45
metropoli_cfia,9.93996,-84.1333511,46
metropoli_cfia,9.9399541,-84.1324677,47
metropoli_cfia,9.9399871,-84.1315596,48
metropoli_cfia,9.9400121,-84.130606,49
metropoli_cfia,9.9401569,-84.1273819,50
metropoli_cfia,9.9403739,-84.1237316,51
metropoli_cfia,9.9402355,-84.1237152,52
metropoli_cfia,9.9402396,-84.1235259,53
metropoli_cfia,9.9401587,-84.1227607,54
metropoli_cfia,9.9398456,-84.1220143,55
