shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
oreamuno_atlantico,9.861238,-83.9053,0
oreamuno_atlantico,9.864212,-83.911,1
oreamuno_atlantico,9.864335,-83.9115,2
oreamuno_atlantico,9.864431,-83.9121,3
oreamuno_atlantico,9.864472,-83.9124,4
oreamuno_atlantico,9.864527,-83.9126,5
oreamuno_atlantico,9.864575,-83.9127,6
oreamuno_atlantico,9.864692,-83.9129,7
oreamuno_atlantico,9.864991,-83.9132,8
oreamuno_atlantico,9.865263,-83.9136,9
oreamuno_atlantico,9.865439,-83.9138,10
oreamuno_atlantico,9.865535,-83.914,11
oreamuno_atlantico,9.865562,-83.9141,12
oreamuno_atlantico,9.865598,-83.9144,13
oreamuno_atlantico,9.865706,-83.9152,14
oreamuno_atlantico,9.865871,-83.9163,15
oreamuno_atlantico,9.866027,-83.9174,16
oreamuno_atlantico,9.866152,-83.9183,17
oreamuno_atlantico,9.866271,-83.9192,18
oreamuno_atlantico,9.866339,-83.9197,19
oreamuno_atlantico,9.866417,-83.9203,20
oreamuno_atlantico,9.866419,-83.9203,21
oreamuno_atlantico,9.866498,-83.9209,22
oreamuno_atlantico,9.866559,-83.9213,23
oreamuno_atlantico,9.866615,-83.9217,24
oreamuno_atlantico,9.866473,-83.9219,25
oreamuno_atlantico,9.866589,-83.9219,26
oreamuno_atlantico,9.866654,-83.922,27
oreamuno_atlantico,9.866519,-83.9222,28
oreamuno_atlantico,9.866634,-83.9222,29
oreamuno_atlantico,9.866736,-83.9226,30
oreamuno_atlantico,9.866793,-83.9229,31
oreamuno_atlantico,9.866805,-83.923,32
oreamuno_atlantico,9.866821,-83.923,33
oreamuno_atlantico,9.866842,-83.923,34
oreamuno_atlantico,9.866884,-83.9231,35
oreamuno_atlantico,9.866911,-83.9231,36
oreamuno_atlantico,9.86697,-83.9231,37
oreamuno_atlantico,9.867232,-83.9234,38
oreamuno_atlantico,9.86801,-83.9242,39
oreamuno_atlantico,9.868515,-83.9246,40
oreamuno_atlantico,9.868784,-83.9249,41
oreamuno_atlantico,9.868861,-83.9249,42
oreamuno_atlantico,9.868962,-83.925,43
oreamuno_atlantico,9.869146,-83.9252,44
oreamuno_atlantico,9.86941,-83.9254,45
oreamuno_atlantico,9.869811,-83.9255,46
oreamuno_atlantico,9.869922,-83.9256,47
oreamuno_atlantico,9.871496,-83.9264,48
oreamuno_atlantico,9.87191,-83.9267,49
oreamuno_atlantico,9.872552,-83.9271,50
oreamuno_atlantico,9.872909,-83.9274,51
oreamuno_atlantico,9.873833,-83.928,52
oreamuno_atlantico,9.874233,-83.9283,53
oreamuno_atlantico,9.874322,-83.9283,54
oreamuno_atlantico,9.874794,-83.9286,55
oreamuno_atlantico,9.875285,-83.9289,56
oreamuno_atlantico,9.876364,-83.9295,57
oreamuno_atlantico,9.876674,-83.9297,58
oreamuno_atlantico,9.877059,-83.9298,59
oreamuno_atlantico,9.87721,-83.9299,60
oreamuno_atlantico,9.877466,-83.93,61
oreamuno_atlantico,9.878005,-83.93,62
oreamuno_atlantico,9.87847,-83.93,63
oreamuno_atlantico,9.878673,-83.93,64
oreamuno_atlantico,9.878957,-83.93,65
oreamuno_atlantico,9.880995,-83.9299,66
oreamuno_atlantico,9.881964,-83.9298,67
oreamuno_atlantico,9.882677,-83.9298,68
oreamuno_atlantico,9.883486,-83.9297,69
oreamuno_atlantico,9.883671,-83.9297,70
oreamuno_atlantico,9.883792,-83.9297,71
oreamuno_atlantico,9.885568,-83.9296,72
oreamuno_atlantico,9.886582,-83.9295,73
oreamuno_atlantico,9.886836,-83.9295,74
oreamuno_atlantico,9.887064,-83.9296,75
oreamuno_atlantico,9.887249,-83.9296,76
oreamuno_atlantico,9.887391,-83.9296,77
oreamuno_atlantico,9.887745,-83.9296,78
oreamuno_atlantico,9.887944,-83.9296,79
oreamuno_atlantico,9.888501,-83.9299,80
oreamuno_atlantico,9.888677,-83.93,81
oreamuno_atlantico,9.88886,-83.9302,82
oreamuno_atlantico,9.889105,-83.9305,83
oreamuno_atlantico,9.889299,-83.9309,84
oreamuno_atlantico,9.889387,-83.9311,85
oreamuno_atlantico,9.889463,-83.9314,86
oreamuno_atlantico,9.889484,-83.9318,87
oreamuno_atlantico,9.889447,-83.9322,88
oreamuno_atlantico,9.889421,-83.9326,89
oreamuno_atlantico,9.889399,-83.9327,90
oreamuno_atlantico,9.889395,-83.9328,91
oreamuno_atlantico,9.889389,-83.933,92
oreamuno_atlantico,9.889521,-83.9333,93
oreamuno_atlantico,9.889801,-83.934,94
oreamuno_atlantico,9.889997,-83.9343,95
oreamuno_atlantico,9.890265,-83.9345,96
oreamuno_atlantico,9.890435,-83.9345,97
oreamuno_atlantico,9.890546,-83.9345,98
oreamuno_atlantico,9.890699,-83.9345,99
oreamuno_atlantico,9.890842,-83.9346,100
oreamuno_atlantico,9.891038,-83.9346,101
oreamuno_atlantico,9.891164,-83.9346,102
oreamuno_atlantico,9.891291,-83.9347,103
oreamuno_atlantico,9.891413,-83.9347,104
oreamuno_atlantico,9.891529,-83.9348,105
oreamuno_atlantico,9.891661,-83.9349,106
oreamuno_atlantico,9.891719,-83.935,107
oreamuno_atlantico,9.891857,-83.9352,108
oreamuno_atlantico,9.891915,-83.9353,109
oreamuno_atlantico,9.891989,-83.9355,110
oreamuno_atlantico,9.891994,-83.9356,111
oreamuno_atlantico,9.891978,-83.9358,112
oreamuno_atlantico,9.891947,-83.936,113
oreamuno_atlantico,9.891931,-83.9361,114
oreamuno_atlantico,9.891899,-83.9362,115
oreamuno_atlantico,9.891862,-83.9364,116
oreamuno_atlantico,9.891841,-83.9365,117
oreamuno_atlantico,9.891783,-83.9368,118
oreamuno_atlantico,9.891719,-83.9369,119
oreamuno_atlantico,9.891682,-83.9371,120
oreamuno_atlantico,9.891624,-83.9373,121
oreamuno_atlantico,9.891577,-83.9374,122
oreamuno_atlantico,9.891545,-83.9376,123
oreamuno_atlantico,9.891519,-83.9377,124
oreamuno_atlantico,9.891497,-83.9378,125
oreamuno_atlantico,9.891434,-83.938,126
oreamuno_atlantico,9.891418,-83.9381,127
oreamuno_atlantico,9.891386,-83.9384,128
oreamuno_atlantico,9.891392,-83.9387,129
oreamuno_atlantico,9.891423,-83.9389,130
oreamuno_atlantico,9.891508,-83.9392,131
oreamuno_atlantico,9.891614,-83.9395,132
oreamuno_atlantico,9.891756,-83.9398,133
oreamuno_atlantico,9.891998,-83.9402,134
oreamuno_atlantico,9.892306,-83.9406,135
oreamuno_atlantico,9.892702,-83.941,136
oreamuno_atlantico,9.893167,-83.9414,137
oreamuno_atlantico,9.893458,-83.9416,138
oreamuno_atlantico,9.894144,-83.9422,139
oreamuno_atlantico,9.894467,-83.9424,140
oreamuno_atlantico,9.895016,-83.9428,141
oreamuno_atlantico,9.895297,-83.943,142
oreamuno_atlantico,9.895677,-83.9431,143
oreamuno_atlantico,9.8962,-83.9433,144
oreamuno_atlantico,9.896698,-83.9435,145
oreamuno_atlantico,9.897097,-83.9437,146
oreamuno_atlantico,9.89731,-83.9438,147
oreamuno_atlantico,9.897568,-83.9439,148
oreamuno_atlantico,9.897955,-83.9442,149
oreamuno_atlantico,9.898595,-83.9446,150
oreamuno_atlantico,9.89943,-83.9451,151
oreamuno_atlantico,9.900011,-83.9454,152
oreamuno_atlantico,9.90028,-83.9456,153
oreamuno_atlantico,9.900555,-83.9459,154
oreamuno_atlantico,9.900872,-83.9462,155
oreamuno_atlantico,9.901211,-83.9467,156
oreamuno_atlantico,9.901358,-83.947,157
oreamuno_atlantico,9.901503,-83.9475,158
oreamuno_atlantico,9.901563,-83.9478,159
oreamuno_atlantico,9.901654,-83.949,160
oreamuno_atlantico,9.901658,-83.9491,161
oreamuno_atlantico,9.901706,-83.9498,162
oreamuno_atlantico,9.90178,-83.951,163
oreamuno_atlantico,9.901811,-83.9518,164
oreamuno_atlantico,9.90188,-83.9524,165
oreamuno_atlantico,9.902032,-83.9528,166
oreamuno_atlantico,9.902424,-83.9536,167
oreamuno_atlantico,9.902947,-83.9543,168
oreamuno_atlantico,9.902962,-83.9543,169
oreamuno_atlantico,9.903179,-83.9547,170
oreamuno_atlantico,9.903344,-83.9553,171
oreamuno_atlantico,9.903601,-83.9559,172
oreamuno_atlantico,9.90398,-83.9566,173
oreamuno_atlantico,9.904466,-83.9571,174
oreamuno_atlantico,9.905111,-83.9575,175
oreamuno_atlantico,9.90561,-83.9576,176
oreamuno_atlantico,9.906019,-83.9577,177
oreamuno_atlantico,9.906404,-83.9578,178
oreamuno_atlantico,9.906846,-83.9581,179
oreamuno_atlantico,9.907268,-83.9585,180
oreamuno_atlantico,9.907511,-83.9591,181
oreamuno_atlantico,9.907974,-83.9603,182
oreamuno_atlantico,9.908465,-83.9614,183
oreamuno_atlantico,9.908904,-83.9622,184
oreamuno_atlantico,9.909362,-83.9628,185
oreamuno_atlantico,9.909501,-83.963,186
oreamuno_atlantico,9.909936,-83.9637,187
oreamuno_atlantico,9.910515,-83.9643,188
oreamuno_atlantico,9.910985,-83.9648,189
oreamuno_atlantico,9.911175,-83.9654,190
oreamuno_atlantico,9.911441,-83.9665,191
oreamuno_atlantico,9.911949,-83.9681,192
oreamuno_atlantico,9.911892,-83.9691,193
oreamuno_atlantico,9.911889,-83.9696,194
oreamuno_atlantico,9.911917,-83.9699,195
oreamuno_atlantico,9.911931,-83.97,196
oreamuno_atlantico,9.91201,-83.9704,197
oreamuno_atlantico,9.912635,-83.9715,198
oreamuno_atlantico,9.912957,-83.9719,199
oreamuno_atlantico,9.913295,-83.9723,200
oreamuno_atlantico,9.913467,-83.9725,201
oreamuno_atlantico,9.913988,-83.9733,202
oreamuno_atlantico,9.914174,-83.9738,203
oreamuno_atlantico,9.914331,-83.9744,204
oreamuno_atlantico,9.914355,-83.9745,205
oreamuno_atlantico,9.914513,-83.9753,206
oreamuno_atlantico,9.914753,-83.9763,207
oreamuno_atlantico,9.914775,-83.977,208
oreamuno_atlantico,9.914775,-83.9771,209
oreamuno_atlantico,9.914626,-83.9776,210
oreamuno_atlantico,9.914612,-83.9777,211
oreamuno_atlantico,9.914555,-83.9778,212
oreamuno_atlantico,9.914462,-83.978,213
oreamuno_atlantico,9.914272,-83.9785,214
