shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
pacifico_metropoli,9.9253945,-84.0811014,0
pacifico_metropoli,9.9257294,-84.0836314,1
pacifico_metropoli,9.9258004,-84.0844052,2
pacifico_metropoli,9.9258029,-84.084703,3
pacifico_metropoli,9.9257564,-84.0850864,4
pacifico_metropoli,9.9256818,-84.0853768,5
pacifico_metropoli,9.9255773,-84.0856152,6
pacifico_metropoli,9.9253837,-84.0861128,7
pacifico_metropoli,9.9252137,-84.0864369,8
pacifico_metropoli,9.9250369,-84.0868748,9
pacifico_metropoli,9.9249764,-84.0870523,10
pacifico_metropoli,9.924989,-84.0874217,11
pacifico_metropoli,9.9252757,-84.0892389,12
pacifico_metropoli,9.9253976,-84.0898437,13
pacifico_metropoli,9.9255076,-84.0904344,14
pacifico_metropoli,9.9255816,-84.0906049,15
pacifico_metropoli,9.9256598,-84.0907566,16
pacifico_metropoli,9.9258116,-84.0909738,17
pacifico_metropoli,9.9259238,-84.0910545,18
pacifico_metropoli,9.9259689,-84.0910992,19
pacifico_metropoli,9.9260257,-84.09114,20
pacifico_metropoli,9.9261842,-84.091254,21
pacifico_metropoli,9.9264878,-84.0914501,22
pacifico_metropoli,9.9269607,-84.0917519,23
pacifico_metropoli,9.9271319,-84.0918611,24
pacifico_metropoli,9.9273064,-84.0919248,25
pacifico_metropoli,9.92750186,-84.09210541,26
pacifico_metropoli,9.9282132,-84.0925688,27
pacifico_metropoli,9.928478,-84.0927599,28
pacifico_metropoli,9.9289052,-84.0930263,29
pacifico_metropoli,9.9299259,-84.0937125,30
pacifico_metropoli,9.9302116,-84.0939136,31
pacifico_metropoli,9.9303611,-84.0940513,32
pacifico_metropoli,9.9305382,-84.0942428,33
pacifico_metropoli,9.9306868,-84.0944314,34
pacifico_metropoli,9.9308313,-84.0946484,35
pacifico_metropoli,9.9308862,-84.0947073,36
pacifico_metropoli,9.9316947,-84.0962424,37
pacifico_metropoli,9.9320095,-84.096875,38
pacifico_metropoli,9.9321681,-84.0972603,39
pacifico_metropoli,9.9322482,-84.097488,40
pacifico_metropoli,9.9323003,-84.0977075,41
pacifico_metropoli,9.9323561,-84.0982177,42
pacifico_metropoli,9.9323627,-84.0982979,43
pacifico_metropoli,9.9323793,-84.0984424,44
pacifico_metropoli,9.9324057,-84.0987077,45
pacifico_metropoli,9.9326467,-84.1014158,46
pacifico_metropoli,9.9326563,-84.1014151,47
pacifico_metropoli,9.9334995,-84.1099142,48
pacifico_metropoli,9.9335372,-84.1103089,49
pacifico_metropoli,9.9336421,-84.1114284,50
pacifico_metropoli,9.9338354,-84.1119459,51
pacifico_metropoli,9.9341474,-84.1123171,52
pacifico_metropoli,9.9344853,-84.1125672,53
pacifico_metropoli,9.9347997,-84.1126877,54
pacifico_metropoli,9.9354121,-84.1126823,55
pacifico_metropoli,9.935707,-84.1126616,56
pacifico_metropoli,9.9358435,-84.1126773,57
pacifico_metropoli,9.9359513,-84.1127081,58
pacifico_metropoli,9.9360803,-84.1127559,59
pacifico_metropoli,9.9361774,-84.1128082,60
pacifico_metropoli,9.9363284,-84.1129085,61
pacifico_metropoli,9.9364527,-84.1130095,62
pacifico_metropoli,9.9365531,-84.1131141,63
pacifico_metropoli,9.9366324,-84.1132214,64
pacifico_metropoli,9.9366958,-84.1133448,65
pacifico_metropoli,9.9367592,-84.1135567,66
pacifico_metropoli,9.936775,-84.1138061,67
pacifico_metropoli,9.9367909,-84.1144471,68
pacifico_metropoli,9.936775,-84.1150989,69
pacifico_metropoli,9.9367621,-84.1154394,70
pacifico_metropoli,9.9367783,-84.1156674,71
pacifico_metropoli,9.9367966,-84.1157881,72
pacifico_metropoli,9.9368955,-84.1163195,73
pacifico_metropoli,9.9369684,-84.1167884,74
pacifico_metropoli,9.9370198,-84.1171187,75
pacifico_metropoli,9.9371184,-84.1174587,76
pacifico_metropoli,9.9378877,-84.1193668,77
pacifico_metropoli,9.9379988,-84.1196425,78
pacifico_metropoli,9.9382944,-84.1202932,79
pacifico_metropoli,9.9384759,-84.1205828,80
pacifico_metropoli,9.9386357,-84.1207226,81
pacifico_metropoli,9.9393833,-84.1213764,82
pacifico_metropoli,9.9398456,-84.1220143,83
pacifico_metropoli,9.9401587,-84.1227607,84
pacifico_metropoli,9.9402396,-84.1235259,85
pacifico_metropoli,9.9402355,-84.1237152,86
pacifico_metropoli,9.9403739,-84.1237316,87
pacifico_metropoli,9.9401569,-84.1273819,88
pacifico_metropoli,9.9400121,-84.130606,89
pacifico_metropoli,9.9399871,-84.1315596,90
pacifico_metropoli,9.9399541,-84.1324677,91
pacifico_metropoli,9.93996,-84.1333511,92
pacifico_metropoli,9.9399761,-84.1335334,93
pacifico_metropoli,9.9400393,-84.1342488,94
pacifico_metropoli,9.9400741,-84.1346063,95
pacifico_metropoli,9.940129,-84.1351172,96
pacifico_metropoli,9.9401334,-84.1351584,97
pacifico_metropoli,9.9401443,-84.1352011,98
pacifico_metropoli,9.9402052,-84.13544,99
pacifico_metropoli,9.9403245,-84.1357196,100
pacifico_metropoli,9.9404913,-84.1359072,101
pacifico_metropoli,9.9407277,-84.1360783,102
pacifico_metropoli,9.9407782,-84.1361102,103
pacifico_metropoli,9.9408153,-84.1361264,104
pacifico_metropoli,9.940893,-84.1361434,105
pacifico_metropoli,9.9410177,-84.1361691,106
pacifico_metropoli,9.941222,-84.1361764,107
pacifico_metropoli,9.9417103,-84.1361333,108
pacifico_metropoli,9.9426069,-84.1360214,109
pacifico_metropoli,9.9434921,-84.1359248,110
pacifico_metropoli,9.9439874,-84.1358682,111
pacifico_metropoli,9.9441934,-84.1358491,112
pacifico_metropoli,9.9444947,-84.1358265,113
pacifico_metropoli,9.9448979,-84.1358105,114
pacifico_metropoli,9.9451345,-84.1358763,115
pacifico_metropoli,9.945368,-84.1359982,116
pacifico_metropoli,9.9456094,-84.1362038,117
pacifico_metropoli,9.9457991,-84.136453,118
pacifico_metropoli,9.9461457,-84.1374652,119
pacifico_metropoli,9.9463192,-84.1380366,120
pacifico_metropoli,9.9469399,-84.1400628,121
pacifico_metropoli,9.947496,-84.1421,122
pacifico_metropoli,9.9476398,-84.1424505,123
pacifico_metropoli,9.9478248,-84.1427591,124
pacifico_metropoli,9.9481148,-84.1430724,125
pacifico_metropoli,9.9484209,-84.1433056,126
pacifico_metropoli,9.9493497,-84.1437941,127
pacifico_metropoli,9.9498597,-84.1440878,128
pacifico_metropoli,9.9498709,-84.1440943,129
pacifico_metropoli,9.9512865,-84.1448767,130
pacifico_metropoli,9.9535703,-84.1460022,131
pacifico_metropoli,9.9537889,-84.1461154,132
pacifico_metropoli,9.9539983,-84.1462897,133
pacifico_metropoli,9.9541803,-84.1465164,134
pacifico_metropoli,9.9543582,-84.1468083,135
pacifico_metropoli,9.955132,-84.1485207,136
pacifico_metropoli,9.9556673,-84.1497053,137
pacifico_metropoli,9.955766,-84.1498934,138
