shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
paraiso_atlantico,9.850563,-83.8901,0
paraiso_atlantico,9.861238,-83.9053,1
paraiso_atlantico,9.864212,-83.911,2
paraiso_atlantico,9.864335,-83.9115,3
paraiso_atlantico,9.864431,-83.9121,4
paraiso_atlantico,9.864472,-83.9124,5
paraiso_atlantico,9.864527,-83.9126,6
paraiso_atlantico,9.864575,-83.9127,7
paraiso_atlantico,9.864692,-83.9129,8
paraiso_atlantico,9.864991,-83.9132,9
paraiso_atlantico,9.865263,-83.9136,10
paraiso_atlantico,9.865439,-83.9138,11
paraiso_atlantico,9.865535,-83.914,12
paraiso_atlantico,9.865562,-83.9141,13
paraiso_atlantico,9.865598,-83.9144,14
paraiso_atlantico,9.865706,-83.9152,15
paraiso_atlantico,9.865871,-83.9163,16
paraiso_atlantico,9.866027,-83.9174,17
paraiso_atlantico,9.866152,-83.9183,18
paraiso_atlantico,9.866271,-83.9192,19
paraiso_atlantico,9.866339,-83.9197,20
paraiso_atlantico,9.866417,-83.9203,21
paraiso_atlantico,9.866419,-83.9203,22
paraiso_atlantico,9.866498,-83.9209,23
paraiso_atlantico,9.866559,-83.9213,24
paraiso_atlantico,9.866615,-83.9217,25
paraiso_atlantico,9.866473,-83.9219,26
paraiso_atlantico,9.866589,-83.9219,27
paraiso_atlantico,9.866654,-83.922,28
paraiso_atlantico,9.866519,-83.9222,29
paraiso_atlantico,9.866634,-83.9222,30
paraiso_atlantico,9.866736,-83.9226,31
paraiso_atlantico,9.866793,-83.9229,32
paraiso_atlantico,9.866805,-83.923,33
paraiso_atlantico,9.866821,-83.923,34
paraiso_atlantico,9.866842,-83.923,35
paraiso_atlantico,9.866884,-83.9231,36
paraiso_atlantico,9.866911,-83.9231,37
paraiso_atlantico,9.86697,-83.9231,38
paraiso_atlantico,9.867232,-83.9234,39
paraiso_atlantico,9.86801,-83.9242,40
paraiso_atlantico,9.868515,-83.9246,41
paraiso_atlantico,9.868784,-83.9249,42
paraiso_atlantico,9.868861,-83.9249,43
paraiso_atlantico,9.868962,-83.925,44
paraiso_atlantico,9.869146,-83.9252,45
paraiso_atlantico,9.86941,-83.9254,46
paraiso_atlantico,9.869811,-83.9255,47
paraiso_atlantico,9.869922,-83.9256,48
paraiso_atlantico,9.871496,-83.9264,49
paraiso_atlantico,9.87191,-83.9267,50
paraiso_atlantico,9.872552,-83.9271,51
paraiso_atlantico,9.872909,-83.9274,52
paraiso_atlantico,9.873833,-83.928,53
paraiso_atlantico,9.874233,-83.9283,54
paraiso_atlantico,9.874322,-83.9283,55
paraiso_atlantico,9.874794,-83.9286,56
paraiso_atlantico,9.875285,-83.9289,57
paraiso_atlantico,9.876364,-83.9295,58
paraiso_atlantico,9.876674,-83.9297,59
paraiso_atlantico,9.877059,-83.9298,60
paraiso_atlantico,9.87721,-83.9299,61
