shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
ulatina_heredia,9.9325526,-84.0438187,0
ulatina_heredia,9.9326027,-84.0439976,1
ulatina_heredia,9.9326307,-84.0444387,2
ulatina_heredia,9.932641,-84.0448184,3
ulatina_heredia,9.9326429,-84.0448899,4
ulatina_heredia,9.9326469,-84.0450655,5
ulatina_heredia,9.9326892,-84.045777,6
ulatina_heredia,9.9327383,-84.0467622,7
ulatina_heredia,9.9327561,-84.0469136,8
ulatina_heredia,9.9328589,-84.0477108,9
ulatina_heredia,9.9329369,-84.0481679,10
ulatina_heredia,9.9332136,-84.0493276,11
ulatina_heredia,9.9332674,-84.0495966,12
ulatina_heredia,9.9334745,-84.0503073,13
ulatina_heredia,9.9336837,-84.051054,14
ulatina_heredia,9.9339859,-84.0521666,15
ulatina_heredia,9.9340324,-84.0523175,16
ulatina_heredia,9.9340346,-84.05241899,17
ulatina_heredia,9.9341796,-84.0528887,18
ulatina_heredia,9.9344104,-84.0536339,19
ulatina_heredia,9.9344573,-84.0537972,20
ulatina_heredia,9.9349123,-84.0553234,21
ulatina_heredia,9.9349514,-84.0554471,22
ulatina_heredia,9.9349716,-84.0555179,23
ulatina_heredia,9.935085,-84.0559143,24
ulatina_heredia,9.9351827,-84.056271,25
ulatina_heredia,9.9352778,-84.0566251,26
ulatina_heredia,9.9353809,-84.0570515,27
ulatina_heredia,9.9354263,-84.0573417,28
ulatina_heredia,9.9354447,-84.0576149,29
ulatina_heredia,9.9354472,-84.0577088,30
ulatina_heredia,9.935449,-84.0578346,31
ulatina_heredia,9.9354493,-84.0578951,32
ulatina_heredia,9.935424,-84.0582103,33
ulatina_heredia,9.9353703,-84.0585294,34
ulatina_heredia,9.934974,-84.0599349,35
ulatina_heredia,9.9347494,-84.0607128,36
ulatina_heredia,9.9346013,-84.0612067,37
ulatina_heredia,9.9345539,-84.0613648,38
ulatina_heredia,9.9343135,-84.0621665,39
ulatina_heredia,9.9339051,-84.0635476,40
ulatina_heredia,9.93386,-84.0637196,41
ulatina_heredia,9.9336919,-84.0643327,42
ulatina_heredia,9.9335883,-84.0648111,43
ulatina_heredia,9.9335683,-84.0649459,44
ulatina_heredia,9.9335552,-84.0650526,45
ulatina_heredia,9.9335423,-84.0653349,46
ulatina_heredia,9.9335718,-84.0656888,47
ulatina_heredia,9.9336275,-84.0661287,48
ulatina_heredia,9.9336442,-84.066215,49
ulatina_heredia,9.9336536,-84.0662543,50
ulatina_heredia,9.9337832,-84.0666193,51
ulatina_heredia,9.9340078,-84.0670711,52
ulatina_heredia,9.9340801,-84.0672424,53
ulatina_heredia,9.9341662,-84.0674254,54
ulatina_heredia,9.9343165,-84.0677596,55
ulatina_heredia,9.9343972,-84.067946,56
ulatina_heredia,9.9347342,-84.0686116,57
ulatina_heredia,9.9347298,-84.068614,58
ulatina_heredia,9.9347849,-84.0687269,59
ulatina_heredia,9.9348741,-84.0689369,60
ulatina_heredia,9.9348801,-84.0689425,61
ulatina_heredia,9.9348794,-84.0689488,62
ulatina_heredia,9.934998,-84.0692169,63
ulatina_heredia,9.9350004,-84.0692158,64
ulatina_heredia,9.9350811,-84.0694177,65
ulatina_heredia,9.9352055,-84.0697586,66
ulatina_heredia,9.935412,-84.0702807,67
ulatina_heredia,9.9355382,-84.0706013,68
ulatina_heredia,9.9355726,-84.0706706,69
ulatina_heredia,9.935657,-84.0708206,70
ulatina_heredia,9.9357232,-84.0708946,71
ulatina_heredia,9.9357955,-84.0709578,72
ulatina_heredia,9.9359023,-84.0710408,73
ulatina_heredia,9.9360274,-84.071121,74
ulatina_heredia,9.9360964,-84.0711552,75
ulatina_heredia,9.9361588,-84.0711793,76
ulatina_heredia,9.9362484,-84.071214,77
ulatina_heredia,9.9363145,-84.0712396,78
ulatina_heredia,9.9364146,-84.0712741,79
ulatina_heredia,9.9365213,-84.0713003,80
ulatina_heredia,9.9365909,-84.0713123,81
ulatina_heredia,9.9366569,-84.071319,82
ulatina_heredia,9.9367661,-84.0713274,83
ulatina_heredia,9.9368268,-84.0713281,84
ulatina_heredia,9.9368683,-84.0713287,85
ulatina_heredia,9.9369634,-84.0713229,86
ulatina_heredia,9.9370595,-84.0713109,87
ulatina_heredia,9.9371853,-84.0712699,88
ulatina_heredia,9.9373571,-84.0712002,89
ulatina_heredia,9.9375341,-84.0710849,90
ulatina_heredia,9.9377861,-84.0709258,91
ulatina_heredia,9.938185,-84.0706703,92
ulatina_heredia,9.9385042,-84.0704572,93
ulatina_heredia,9.939014,-84.0701113,94
ulatina_heredia,9.9395146,-84.0697851,95
ulatina_heredia,9.9400022,-84.0695967,96
ulatina_heredia,9.9401405,-84.0695643,97
ulatina_heredia,9.9402789,-84.069542,98
ulatina_heredia,9.9403506,-84.0695387,99
ulatina_heredia,9.9406373,-84.0695178,100
ulatina_heredia,9.9409149,-84.0695186,101
ulatina_heredia,9.9413881,-84.0695257,102
ulatina_heredia,9.9416846,-84.0695319,103
ulatina_heredia,9.942091,-84.069535,104
ulatina_heredia,9.9423986,-84.0695514,105
ulatina_heredia,9.9425046,-84.0695582,106
ulatina_heredia,9.9426301,-84.0695793,107
ulatina_heredia,9.9428555,-84.0696171,108
ulatina_heredia,9.9430029,-84.0696418,109
ulatina_heredia,9.9431503,-84.0696688,110
ulatina_heredia,9.9432935,-84.0697142,111
ulatina_heredia,9.9434626,-84.0698001,112
ulatina_heredia,9.9436517,-84.0699144,113
ulatina_heredia,9.9437767,-84.0700177,114
ulatina_heredia,9.9439989,-84.070299,115
ulatina_heredia,9.9442499,-84.0706101,116
ulatina_heredia,9.9444673,-84.0708875,117
ulatina_heredia,9.9447226,-84.0711887,118
ulatina_heredia,9.9449365,-84.0714596,119
ulatina_heredia,9.9451772,-84.0717715,120
ulatina_heredia,9.9453678,-84.0719915,121
ulatina_heredia,9.9455116,-84.0721975,122
ulatina_heredia,9.9456862,-84.0724065,123
ulatina_heredia,9.945944,-84.072759,124
ulatina_heredia,9.9459928,-84.0728221,125
ulatina_heredia,9.9460112,-84.0728059,126
ulatina_heredia,9.9465374,-84.0735536,127
ulatina_heredia,9.9469376,-84.0740713,128
ulatina_heredia,9.9471308,-84.0743562,129
ulatina_heredia,9.9473125,-84.0746527,130
ulatina_heredia,9.9475056,-84.0751151,131
ulatina_heredia,9.9476091,-84.075484,132
ulatina_heredia,9.9477517,-84.0759043,133
ulatina_heredia,9.9479147,-84.0762948,134
ulatina_heredia,9.948016,-84.0764298,135
ulatina_heredia,9.9481266,-84.0765604,136
ulatina_heredia,9.9482876,-84.0766702,137
ulatina_heredia,9.9486625,-84.0768523,138
ulatina_heredia,9.9488465,-84.076948,139
ulatina_heredia,9.9489592,-84.0770344,140
ulatina_heredia,9.949042,-84.0771185,141
ulatina_heredia,9.9491087,-84.0772049,142
ulatina_heredia,9.9491962,-84.0773625,143
ulatina_heredia,9.9492732,-84.0776168,144
ulatina_heredia,9.9493594,-84.0784004,145
ulatina_heredia,9.9494077,-84.0787086,146
ulatina_heredia,9.9494813,-84.0789725,147
ulatina_heredia,9.9496468,-84.0792807,148
ulatina_heredia,9.9497871,-84.0794932,149
ulatina_heredia,9.9499343,-84.0797337,150
ulatina_heredia,9.9500746,-84.0799088,151
ulatina_heredia,9.950185,-84.0800979,152
ulatina_heredia,9.9502425,-84.0803011,153
ulatina_heredia,9.9502586,-84.0804832,154
ulatina_heredia,9.9502494,-84.080682,155
ulatina_heredia,9.9502149,-84.0809782,156
ulatina_heredia,9.9501022,-84.0817511,157
ulatina_heredia,9.95007,-84.0820547,158
ulatina_heredia,9.9500654,-84.0823582,159
ulatina_heredia,9.9501321,-84.0827365,160
ulatina_heredia,9.9502724,-84.0830634,161
ulatina_heredia,9.9503989,-84.0832502,162
ulatina_heredia,9.9505538,-84.0834022,163
ulatina_heredia,9.9541497,-84.0857663,164
ulatina_heredia,9.9547059,-84.0861228,165
ulatina_heredia,9.9548351,-84.0861835,166
ulatina_heredia,9.9549392,-84.0862465,167
ulatina_heredia,9.9551575,-84.086401,168
ulatina_heredia,9.9554726,-84.0866106,169
ulatina_heredia,9.9555752,-84.0866788,170
ulatina_heredia,9.9578283,-84.0881389,171
ulatina_heredia,9.958879,-84.0887993,172
ulatina_heredia,9.9599741,-84.0895209,173
ulatina_heredia,9.9616526,-84.0906076,174
ulatina_heredia,9.9621067,-84.0909123,175
ulatina_heredia,9.9624647,-84.0910739,176
ulatina_heredia,9.9625563,-84.0910861,177
ulatina_heredia,9.9628906,-84.0910748,178
ulatina_heredia,9.963219,-84.090977,179
ulatina_heredia,9.9634493,-84.0907677,180
ulatina_heredia,9.963636,-84.0902862,181
ulatina_heredia,9.9638669,-84.0899511,182
ulatina_heredia,9.964202,-84.0897501,183
ulatina_heredia,9.9646934,-84.0897352,184
ulatina_heredia,9.9651328,-84.0898096,185
ulatina_heredia,9.9655498,-84.0899586,186
ulatina_heredia,9.9663838,-84.0902639,187
ulatina_heredia,9.9666795,-84.0904702,188
ulatina_heredia,9.9668201,-84.0907639,189
ulatina_heredia,9.9668381,-84.0911277,190
