trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
pacifico_belen_05:15,05:15:00,05:15:00,EPA,1,Estación del Pacífico a Belén,0,,,,,1
pacifico_belen_05:15,05:18:00,05:18:00,BCU,2,Estación del Pacífico a Belén,0,,,,,1
pacifico_belen_05:15,05:22:00,05:22:00,CON,3,Estación del Pacífico a Belén,0,,,,,1
pacifico_belen_05:15,05:25:00,05:25:00,SLL,4,Estación del Pacífico a Belén,0,,,,,1
pacifico_belen_05:15,05:29:00,05:29:00,AYA,5,Estación del Pacífico a Belén,0,,,,,1
pacifico_belen_05:15,05:31:00,05:31:00,JCK,6,Estación del Pacífico a Belén,0,,,,,1
pacifico_belen_05:15,05:34:00,05:34:00,PAV,7,Estación del Pacífico a Belén,0,,,,,1
pacifico_belen_05:15,05:37:00,05:37:00,PEC,8,Estación del Pacífico a Belén,0,,,,,1
pacifico_belen_05:15,05:39:00,05:39:00,DEM,9,Estación del Pacífico a Belén,0,,,,,1
pacifico_belen_05:15,05:42:00,05:42:00,MET,10,Estación del Pacífico a Belén,0,,,,,1
pacifico_belen_05:15,05:55:00,05:55:00,PED,11,Estación del Pacífico a Belén,0,,,,,1
pacifico_belen_05:15,05:59:00,05:59:00,BEL,12,Estación del Pacífico a Belén,0,,,,,1
atlantico_belen_06:23,06:23:00,06:23:00,ATL,1,Estación del Atlántico a Belén,0,,,,,1
atlantico_belen_06:23,06:28:00,06:28:00,LCO,2,Estación del Atlántico a Belén,0,,,,,1
atlantico_belen_06:23,06:32:00,06:32:00,PVI,3,Estación del Atlántico a Belén,0,,,,,1
atlantico_belen_06:23,06:35:00,06:35:00,EPA,4,Estación del Atlántico a Belén,0,,,,,1
atlantico_belen_06:23,06:38:00,06:38:00,BCU,5,Estación del Atlántico a Belén,0,,,,,1
atlantico_belen_06:23,06:42:00,06:42:00,CON,6,Estación del Atlántico a Belén,0,,,,,1
atlantico_belen_06:23,06:45:00,06:45:00,SLL,7,Estación del Atlántico a Belén,0,,,,,1
atlantico_belen_06:23,06:49:00,06:49:00,AYA,8,Estación del Atlántico a Belén,0,,,,,1
atlantico_belen_06:23,06:51:00,06:51:00,JCK,9,Estación del Atlántico a Belén,0,,,,,1
atlantico_belen_06:23,06:54:00,06:54:00,PAV,10,Estación del Atlántico a Belén,0,,,,,1
atlantico_belen_06:23,06:57:00,06:57:00,PEC,11,Estación del Atlántico a Belén,0,,,,,1
atlantico_belen_06:23,06:59:00,06:59:00,DEM,12,Estación del Atlántico a Belén,0,,,,,1
atlantico_belen_06:23,07:02:00,07:02:00,MET,13,Estación del Atlántico a Belén,0,,,,,1
atlantico_belen_06:23,07:15:00,07:15:00,PED,14,Estación del Atlántico a Belén,0,,,,,1
atlantico_belen_06:23,07:19:00,07:19:00,BEL,15,Estación del Atlántico a Belén,0,,,,,1
pacifico_belen_06:55,06:55:00,06:55:00,EPA,1,Estación del Pacífico a Belén,0,,,,,1
pacifico_belen_06:55,06:58:00,06:58:00,BCU,2,Estación del Pacífico a Belén,0,,,,,1
pacifico_belen_06:55,07:02:00,07:02:00,CON,3,Estación del Pacífico a Belén,0,,,,,1
pacifico_belen_06:55,07:05:00,07:05:00,SLL,4,Estación del Pacífico a Belén,0,,,,,1
pacifico_belen_06:55,07:09:00,07:09:00,AYA,5,Estación del Pacífico a Belén,0,,,,,1
pacifico_belen_06:55,07:11:00,07:11:00,JCK,6,Estación del Pacífico a Belén,0,,,,,1
pacifico_belen_06:55,07:14:00,07:14:00,PAV,7,Estación del Pacífico a Belén,0,,,,,1
pacifico_belen_06:55,07:17:00,07:17:00,PEC,8,Estación del Pacífico a Belén,0,,,,,1
pacifico_belen_06:55,07:19:00,07:19:00,DEM,9,Estación del Pacífico a Belén,0,,,,,1
pacifico_belen_06:55,07:22:00,07:22:00,MET,10,Estación del Pacífico a Belén,0,,,,,1
pacifico_belen_06:55,07:42:00,07:42:00,PED,11,Estación del Pacífico a Belén,0,,,,,1
