stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
CFI,CFI,CFIA,"Al costado norte del Banco de Costa Rica, calle 093, transversal 093, Freses, Curridabat",9.925263252038647,-84.03708147841358,zone_A,,0,,1
ULT,ULT,U Latina,"Al costado norte de la Universidad Latina, final norte de calle 73, Lourdes, San Pedro",9.932614857018942,-84.04416938598487,zone_A,,0,,1
UCR,UCR,UCR,"Al costado sur Facultad de Arquitectura de la Universidad de Costa Rica, calles 53 y 57, avenidas 1 y de la Facultad, San Pedro",9.934098908379708,-84.05262037372313,zone_A,,0,,1
ATL,ATL,Estación Atlántico,"En diagonal al costado suroeste de la Antigua Aduana, calles 21 y 23, paseo de Las Damas, San José",9.934814282977209,-84.0688443015145,zone_E,,0,,1
LCO,LCO,La Corte,"Al costado norte del Juzgado Notarial, calles 13 y 15, avenidas 2 y 6, San José",9.931417965777968,-84.0723421628355,zone_A,,0,,1
PVI,PVI,Plaza Víquez,"Al costado oeste de la piscina infantil Plaza González Víquez, calles 11 y 13, avenidas 18 y 22, San José",9.925120579495385,-84.07412329209568,zone_A,,0,,1
EPA,EPA,Estación Pacífico,"Al costado norte del Hospital de la Mujer, calles central y 4, avenida 20, San José",9.925358688424526,-84.0805925658245,zone_B,,0,,1
BCU,BCU,Barrio Cuba,"Al costado sur del Cementerio General, avenidas 22 y 28, calle transversal 24, San José",9.927089952274379,-84.09183434362362,zone_C,,0,,1
CON,CON,Contraloría,"Al costado norte de la Contraloría General de la República, calles 50 y 54, avenida 12, Sabana Sur",9.932690430876995,-84.10174675646263,zone_C,,0,,1
SLL,SLL,La Salle,"Al costado norte del Colegio de Médicos de Costa Rica, calles 66 y 68, avenida 12, Sabana Sur",9.933497182683995,-84.10987162655681,zone_C,,0,,1
AYA,AYA,AyA,"Al costado sur de la Sede Central de Acueductos y Alcantarillados, final sur de calle 86A, Zona Industrial, Pavas",9.937988975364487,-84.11958193759368,zone_C,,0,,1
JCK,JCK,Jack's,"Al costado sur de Sylvania, avenidas 11 y 15, contiguo calle 98, Zona Industrial, Pavas",9.940364182686988,-84.12386739197302,zone_C,,0,,1
PAV,PAV,Pavas Centro,"75 m al sur y 50 m al oeste de la Iglesia de Santa Bárbara de Pavas, calles 120 y 122, avenidas 11 y 13, Pavas",9.940092768957777,-84.1347706268889,zone_C,,0,,1
PEC,PEC,Pecosa,"Al costado norte Distribuidora Pecosa, final sur de calle 130A, Pavas",9.946480045850247,-84.13854459949358,zone_C,,0,,1
DEM,DEM,Demasa,"Al costado oeste de Demasa, transversal 142 y calle 156, Rincón Grande, Pavas",9.951257520835336,-84.14486068325908,zone_C,,0,,1
MET,MET,Metrópoli,"Al costado sur de Asfaltos CBZ, transversal 142 y calle 158, Rincón Grande, Pavas",9.956981169974018,-84.15070352037216,zone_C,,0,,1
