route_id,service_id,trip_id,trip_start_time,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed
L3,entresemana,pacifico_belen_05:15,05:15,Estación del Pacífico a Belén,,1,pacifico_belen,1,1
L3,entresemana,atlantico_belen_06:23,06:23,Estación del Atlántico a Belén,,1,atlantico_belen,1,1
L3,entresemana,pacifico_belen_06:55,06:55,Estación del Pacífico a Belén,,1,pacifico_belen,1,1
L3,entresemana,cfia_metropoli_06:37,06:37,Curridabat a Metrópoli,,1,cfia_metropoli,1,1
L3,entresemana,pacifico_belen_15:15,15:15,Estación del Pacífico a Belén,,1,pacifico_belen,1,1
L3,entresemana,pacifico_metropoli_15:25,15:25,Estación del Pacífico a Metrópoli,,1,pacifico_metropoli,1,1
L3,entresemana,pacifico_belen_15:55,15:55,Estación del Pacífico a Belén,,1,pacifico_belen,1,1
L3,entresemana,pacifico_metropoli_16:15,16:15,Estación del Pacífico a Metrópoli,,1,pacifico_metropoli,1,1
L3,entresemana,pacifico_belen_17:25,17:25,Estación del Pacífico a Belén,,1,pacifico_belen,1,1
L3,entresemana,pacifico_metropoli_17:50,17:50,Estación del Pacífico a Metrópoli,,1,pacifico_metropoli,1,1
L3,entresemana,belen_pacifico_06:05,06:05,Belén a Estación del Pacífico,,0,belen_pacifico,1,1
L3,entresemana,belen_pacifico_07:25,07:25,Belén a Estación del Pacífico,,0,belen_pacifico,1,1
L3,entresemana,metropoli_pacifico_08:01,08:01,Metrópoli a Estación del Pacífico,,0,metropoli_pacifico,1,1
L3,entresemana,belen_pacifico_07:55,07:55,Belén a Estación del Pacífico,,0,belen_pacifico,1,1
L3,entresemana,metropoli_cfia_16:01,16:01,Metrópoli a Curridabat,,0,metropoli_cfia,1,1
L3,entresemana,belen_pacifico_16:10,16:10,Belén a Estación del Pacífico,,0,belen_pacifico,1,1
L3,entresemana,metropoli_atlantico_16:53,16:53,Metrópoli a Estación del Atlántico,,0,metropoli_atlantico,1,1
L3,entresemana,belen_pacifico_16:55,16:55,Belén a Estación del Pacífico,,0,belen_pacifico,1,1
L3,entresemana,metropoli_pacifico_18:30,18:30,Metrópoli a Estación del Pacífico,,0,metropoli_pacifico,1,1
L3,entresemana,belen_pacifico_18:30,18:30,Belén a Estación del Pacífico,,0,belen_pacifico,1,1
L2,entresemana,atlantico_angeles_06:01,06:01,Estación del Atlántico a Los Ángeles,,0,atlantico_angeles,1,1
